id,unit,lesson,type,requiresChart,chartType,types,detection,subFlags,subFlagsByType,promptSnippet,fullPrompt
U3-PC-FRQ-Q02,3,PC,free-response,true,bar,,flag:chartType:bar;keyword:bar chart,,bar:,A survey was given to a random sample of 400 people living in a certain community. The people were asked whether they s…,"A survey was given to a random sample of 400 people living in a certain community. The people were asked whether they supported the construction of walking trails in the community park. The results are shown in the following table.

| Response | Frequency |
|----------|----------|
| Yes, support | 210 |
| No, do not support | 90 |
| No opinion | 100 |
| Total | 400 |

(a) Complete the following segmented bar chart to show the relative frequencies of the results.

A follow-up study will be conducted with a sample of 20 people from the 300 people who responded yes (support) and no (do not support). Two sampling methods have been proposed: a simple random sample and a stratified random sample with the survey response as strata.

(b) If the stratified random sample is used, what is the number of people that will be selected from those who responded yes? Support your answer by showing your work.

(c) Describe a statistical advantage of using the stratified random sample instead of the simple random sample for the follow-up study."
U4-L9-Q04,4,9,free-response,false,words-only,,,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

Company F sells fabrics known as fat quarters, which are rectangles of fabric created by cutting a yard of fabric into four pieces. Occasionally the manufacturing process results in a fabric defect. Let the random variable \(X\) represent the number of defects on a fat quarter created by Company F. The following table shows the probability distribution of \(X\).

If a fat quarter has more than 2 defects, it cannot be sold and is discarded. Let the random variable \(Y\) represent the number of defects on a fat quarter that can be sold by Company F.

(a) Construct the probability distribution of the random variable \(Y\).

(b) Determine the mean and standard deviation of \(Y\). Show your work.

Company G also sells fat quarters. The mean and standard deviation of the number of defects on a fat quarter that can be sold by Company G are 0.40 and 0.66, respectively. The fat quarters sell for $5.00 each, but are discounted by $1.50 for each defect found.

(c) What are the mean and standard deviation of the selling price for the fat quarters sold by Company G?"
U4-PC-FRQ-Q01,4,PC,free-response,false,words-only,,,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

At a financial institution, a fraud detection system identifies suspicious transactions and sends them to a specialist for review. The specialist reviews the transaction, the customer profile, and past history. If there is sufficient evidence of fraud, the transaction is blocked. Based on past history, the specialist blocks 40 percent of the suspicious transactions. Assume a suspicious transaction is independent of other suspicious transactions.

(a) Suppose the specialist will review 136 suspicious transactions in one day. What is the expected number of blocked transactions by the specialist? Show your work.

(b) Suppose the specialist wants to know the number of suspicious transactions that will need to be reviewed until reaching the first transaction that will be blocked.
(i) Define the random variable of interest and state how the variable is distributed.
(ii) Determine the expected value of the random variable and interpret the expected value in context.

(c) Consider a batch of 10 randomly selected suspicious transactions. Suppose the specialist wants to know the probability that 2 of the transactions will be blocked.
(i) Define the random variable of interest and state how the variable is distributed.
(ii) Find the probability that 2 transactions in the batch will be blocked. Show your work."
U4-PC-FRQ-Q02,4,PC,free-response,false,words-only,,,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

Miguel is a golfer, and he plays on the same course each week. The following table shows the probability distribution for his score on one particular hole, known as the Water Hole.

Let the random variable \(X\) represent Miguel's score on the Water Hole. In golf, lower scores are better.

(a) Suppose one of Miguel's scores from the Water Hole is selected at random. What is the probability that Miguel's score on the Water Hole is at most 5? Show your work.

(b) Calculate and interpret the expected value of \(X\). Show your work.

The name of the Water Hole comes from the small lake that lies between the tee, where the ball is first hit, and the hole. Miguel has two approaches to hitting the ball from the tee, the short hit and the long hit. The short hit results in the ball landing before the lake. The values of \(X\) in the table are based on the short hit. The long hit, if successful, results in the ball traveling over the lake and landing on the other side.

A potential issue with the long hit is that the ball might land in the water, which is not a good outcome. Miguel thinks that if the long hit is successful, his expected value improves to 4.2. However, if the long hit fails and the ball lands in the water, his expected value would be worse and increases to 5.4.

(c) Suppose the probability of a successful long hit is 0.4. Which approach, the short hit or the long hit, is better in terms of improving the expected value of the score? Justify your answer.

(d) Let \(p\) represent the probability of a successful long hit. What values of \(p\) will make the long hit better than the short hit in terms of improving the expected value of the score? Explain your reasoning."
U5-L2-Q01,5,2,free-response,true,histogram,,flag:chartType:histogram;keyword:histogram;keyword:normal curve,normalParams,histogram:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

One woman from the population will be selected at random."
U5-L6-FRQ-Q01,5,6,free-response,true,normal,,keyword:normal curve,normalParams,normal:normalParams,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A polling agency is investigating the voter support for a ballot measure in an upcoming city election. The agency will select a random sample of 500 voters from one region, Region A, of the city. Assume that the population proportion of voters who would support the ballot measure in Region A is 0.47.

(a) What is the probability that the proportion of voters in the sample of Region A who support the ballot measure is greater than 0.50?

The polling agency will take another sample from a different region, Region B, of the city. The agency plans to select a random sample of 400 voters. Assume that the population proportion of voters who would support the ballot measure in Region B is 0.51.

(b) Describe the sampling distribution of the difference in sample proportions (Region B minus Region A).

(c) What is the probability that the two sample proportions will differ by more than 0.05?"
U5-PC-FRQ-Q01,5,PC,free-response,true,normal,,keyword:normal curve,normalParams,normal:normalParams,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

Researchers are studying two populations of sea turtles. In population D, 30 percent of the turtles have a shell length greater than 2 feet. In population E, 20 percent of the turtles have a shell length greater than 2 feet. From a random sample of 40 turtles selected from D, 15 had a shell length greater than 2 feet. From a random sample of 60 turtles selected from E, 11 had a shell length greater than 2 feet. Let \(\hat{p}_D\) represent the sample proportion for D, and let \(\hat{p}_E\) represent the sample proportion for E.

(a) What is the value of the difference \(\hat{p}_D - \hat{p}_E\)? Show your work.

(b) What are the mean and standard deviation of the sampling distribution of the difference in sample proportions \(\hat{p}_D - \hat{p}_E\)? Show your work and label each value.

(c) Can it be assumed that the sampling distribution of the difference of the sample proportions \(\hat{p}_D - \hat{p}_E\) is approximately normal? Justify your answer.

(d) Consider your answer in part (a). What is the probability that \(\hat{p}_D - \hat{p}_E\) is greater than the value found in part (a)? Show your work."
U5-PC-FRQ-Q02,5,PC,free-response,true,multi,histogram;dotplot,flag:chartType:histogram;flag:chartType:dotplot;keyword:histogram;keyword:dotplot;keyword:normal curve,normalParams,histogram:;dotplot:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The following histogram shows the distribution of house values in a certain city. The mean of the distribution is $403,000 and the standard deviation is $278,000.

(a) Suppose one house from the city will be selected at random. Use the histogram to estimate the probability that the selected house is valued at less than $500,000. Show your work.

(b) Suppose a random sample of 40 houses are selected from the city. Estimate the probability that the mean value of the 40 houses is less than $500,000. Show your work.

To estimate a population mean μ, the sample mean \(\bar{x}\) is often used as an estimator. However, a different estimator is called the sample midrange, given by the formula \(\frac{\text{sample minimum} + \text{sample maximum}}{2}\).

(c) The following table shows the values, in thousands of dollars, of 40 randomly selected houses in the city.

(i) Calculate the sample midrange for the data.

(ii) Explain why the sample midrange might be preferred to the sample mean as an estimator of the population mean.

(d) To investigate the sampling distribution of the sample midrange, a simulation is performed in which 100 random samples of size n = 40 were selected from the population of house values. For each sample, the sample midrange was calculated and recorded on the following dotplot. The mean of the distribution of sample midranges is $617,000 with standard deviation $136,000.

Based on the results of the simulation, explain why the sample mean might be preferred to the sample midrange as an estimator of the population mean."
U6-L3-Q01,6,3,free-response,true,normal,,keyword:normal curve,,normal:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The manufacturer of a certain type of new cell phone battery claims that the average life span of the batteries is 500 charges; that is, the battery can be charged at least 500 times before failing. To investigate the claim, a consumer group will select a random sample of cell phones with the new battery and use the phones through 500 charges of the battery. The proportion of batteries that fail to last through 500 charges will be recorded. The results will be used to construct a 95 percent confidence interval to estimate the proportion of all such batteries that fail to last through 500 charges.

(a) Explain in context what it means to be 95 percent confident.

(b) Suppose the consumer group conducts its investigation with a random sample of 5 cell phones with the new battery, and 1 battery out of the 5 fails to last through 500 charges. Verify all conditions for inference for a 95 percent confidence interval for a population proportion. Indicate whether any condition has not been met. Do not construct the interval.

(c) Based on the simulation, what proportion of the 95 percent confidence intervals capture the population proportion of 0.3? Explain how you determined your answer.

(d) For the cell phone batteries, consider a sample of 5 in which 1 battery fails to last through 500 charges.
    (i) Using the alternate method described, what is the value of \(\hat{p}_{new}\)? Show your work.
    (ii) Based on the results of the simulation, is the alternate method better than the traditional method described in part (b) to construct a 95 percent confidence interval with a small sample size? Explain your reasoning."
U6-L7-Q08,6,7,free-response,true,normal,,keyword:normal curve,normalParams,normal:normalParams,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The distribution of pH levels for all community swimming pools in a large county is approximately normal with mean 7.5 and standard deviation 0.2. According to swimming pool studies, the safest pH levels for water in swimming pools are between 7.2 and 7.8.

(a) One community swimming pool in the county will be selected at random. What is the probability that the selected pool has a pH level that is not considered safe?

The county health inspector will select a random sample of 4 community swimming pools in the county to investigate the pH levels.

(b) Describe the sampling distribution of the sample mean for samples of size 4.

(c) Consider the situation in which the health inspector finds the sample mean of the 4 pools to be outside the safe pH levels. As a result, the inspector declares that the population mean is not 7.5. However, if the population mean really is 7.5, the inspector will have made an error. Such an error is called a Type I error. Find the probability that the inspector will make a Type I error with the sample of 4 pools. Show your work."
U6-L11-Q07,6,11,free-response,false,words-only,,,,,A random sample of 100 people from region A and a random sample of 100 people from region B were surveyed about their g…,"A random sample of 100 people from region A and a random sample of 100 people from region B were surveyed about their grocery-shopping habits. From the region A sample, 16 percent of the people indicated that they shop for groceries online. From the region B sample, 24 percent of the people indicated that they shop for groceries online.

At the significance level of \(\alpha = 0.05\), do the data provide convincing statistical evidence that there is a difference between the two regions for the population proportions of people who shop online for groceries? Complete the appropriate inference procedure to support your answer."
U6-PC-FRQ-Q01,6,PC,free-response,true,normal,,keyword:normal curve,,normal:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A recent survey collected information on television viewing habits from a random sample of 1,000 people in the United States. Of those sampled, 37 percent indicated that their favorite sport to watch on television was American football.

(a) Construct and interpret a 95 percent confidence interval for the proportion of all people in the United States who would indicate that their favorite sport to watch on television is American football.

(b) Based on your answer to part (a), is it reasonable to believe that 33 percent is the actual percent of people in the United States whose favorite sport to watch on television is American football? Justify your answer."
U6-PC-FRQ-Q02,6,PC,free-response,true,normal,,keyword:normal curve,,normal:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A fair die, with its faces numbered from 1 to 6, is one in which each number is equally likely to land face up when the die is rolled. On a fair die, the probability that the number 6 will land face up is \(\frac{1}{6}\). A group of students wanted to investigate a claim about manipulating a fair die so that it favors one outcome. The claim states that if a fair die is put into an oven and baked at 200°F for 10 minutes, the inside of the die will begin to melt. When the die cools, the inside will be solid again, but with more weight toward the bottom. This shift in weight will cause the face that was up when the die cooled to land up more often that the other faces.

The students obtained a fair die and baked it according to the preceding directions. The die cooled with the number 6 face up. After the die cooled, they rolled the die 200 times, and the number 6 landed face up 43 times. Let \(p\) represent the population proportion of times the number 6 will land face up on the baked die if the die could be rolled an infinite number of times.

(a) Clarke, one of the students, constructed a 95 percent confidence interval for \(p\) as \(0.215 \pm 0.057\). Does the interval provide convincing statistical evidence that the number 6 will land face up more often on the baked die than on a fair die? Explain your reasoning.

(b) Aurelia, another student, suggested they conduct a significance test to investigate the claim. She tested the hypotheses \(H_0: p = \frac{1}{6}\) versus \(H_a: p > \frac{1}{6}\) at the significance level of \(\alpha = 0.05\). She obtained a test statistic of \(z = 1.83\) with a p-value of 0.033. Do the results of the significance test agree with the results of Clarke's confidence interval in part (a)? Explain your reasoning.

(c) Two standard normal curves are shown below, one for the confidence interval calculated in part (a) and one for the significance test conducted in part (b).

(i) For the confidence interval curve, label the critical values for the 95% confidence level and shade the area that represents values in the outer 5%.

(ii) For the significance test curve, label the critical value for the 5% significance level and shade the area representing the values of \(z\) that would lead to a rejection of the null hypothesis in part (b).

(d) Joachim, a third student, noted that the confidence interval in part (a) gives plausible values of the parameter as an interval between two values. He suggested that they develop a one-sided confidence interval because they were only concerned with whether the number 6 was landing face up more often than expected, not less often. The one-sided-interval will determine a value \(L\) such that all plausible values of \(p\) are greater than \(L\). The formula for \(L\) is \(L = \hat{p} - z^* \sqrt{\frac{\hat{p}(1-\hat{p})}{n}}\).

(i) Determine the values of \(z^*\) needed to create the one-sided 95 percent confidence interval. Then calculate the value of \(L\).

(ii) Do the results of Joachim's one-sided confidence interval agree with results of Aurelia's significance test in part (b)? Explain your reasoning."
U7-L5-Q04,7,5,free-response,false,words-only,,,,,A recent study reported that high school students spend an average of 94 minutes per day texting. Jenna claims that the…,"A recent study reported that high school students spend an average of 94 minutes per day texting. Jenna claims that the average for the students at her large high school is greater than 94 minutes. She will conduct a study to investigate this claim.

(a) To collect data, Jenna will select a sample of size 32 from the population.
    (i) State Jenna's population of interest.
    (ii) Name and describe a sampling method Jenna could use that will satisfy the conditions needed for inference to the population.

(b) Based on a sample of 32 students, Jenna calculated a sample mean of 96.5 minutes and a sample standard deviation of 6.3 minutes. Assume all conditions for inference are met. At the significance level of \(\alpha = 0.05\), do the data provide convincing statistical evidence to support Jenna's claim? Complete an appropriate inference procedure to support your answer."
U7-L8-Q01,7,8,free-response,true,multi,boxplot;dotplot,flag:chartType:boxplot;flag:chartType:dotplot;keyword:dotplot;keyword:boxplot;keyword:normal curve,,boxplot:;dotplot:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A team of psychologists studied the concept of visualization in basketball, where players visualize making a basket before shooting the ball. They conducted an experiment in which 20 basketball players with similar abilities were randomly assigned to two groups. The 10 players in group 1 received visualization training, and the 10 players in group 2 did not.

Each player stood 22 feet from the basket at the same location on the basketball court. Each player was then instructed to attempt to make the basket until two consecutive baskets were made. The players who received visualization training were instructed to use visualization techniques before attempting to make the basket. The total number of attempts, including the last two attempts, were recorded for each player.

The total number of attempts for each of the 20 players are summarized in the following boxplots.

(a) Based on the boxplots, did basketball players who received visualization training tend to need fewer attempts to make two consecutive baskets from a distance of 22 feet than players who did not receive the training? Explain your reasoning.

(b) State and check conditions for conducting a two-sample \(t\)-test for a difference in means.

Because both distributions, visualization and no visualization, are skewed, the psychologists conducted a simulation to test for a difference in medians rather than means. For each trial of the simulation, the 20 values of the total number of attempts observed in the experiment were combined into one group and then randomly split into two groups of 10. The difference in the medians \((V - NV)\) of the groups was calculated for each trial. The following dotplot shows the difference in the medians for 100 trials of the simulation.

(c) Using the observed difference in medians \((V - NV)\) and the results of the simulation, estimate a \(p\)-value for a test for the difference in medians. Show the work needed to calculate this \(p\)-value.

(d) Based on the \(p\)-value in part (c), is there convincing statistical evidence that basketball players similar to the ones in this study who receive visualization training need fewer attempts to make two consecutive baskets from a distance of 22 feet than those who do not receive such training? Justify your answer."
U7-PC-FRQ-Q01,7,PC,free-response,false,words-only,,,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A bank categorizes its customers into one of three groups based on their banking habits. A random sample of customers from each group was selected, and the number of times each customer visited the bank during the past year was recorded. The following table shows the summary statistics.

The bank manager will investigate whether there is a significant difference in mean numbers of bank visits for the groups. Multiple two-sample \(t\)-tests will be conducted, each at the significance level of \(\alpha = 0.05\).

(a) How many \(t\)-tests will need to be conducted for the manager's investigation? List the pairs of groups for each test.

The significance level (\(\alpha\)) of a single hypothesis test is the probability of making a Type I error. The manager wants to know the probability of making a Type I error for multiple \(t\)-tests, not just for a single \(t\)-test. This probability is called the family error rate for Type I error, which is also known as the family error rate.

(b) A \(t\)-test has two possible outcomes: reject or do not reject the null hypothesis. Suppose the null hypothesis is true. If the null hypothesis is rejected, the result is statistically significant, which would be a Type I error; if the null hypothesis is not rejected, the result is not statistically significant, which would not be a Type I error. Let S represent a statistically significant result, and let N represent a result that is not statistically significant.

(i) If \(P(S) = 0.05\), what is the value of \(P(N)\)?

The bank manager knows that the investigation will involve conducting multiple two-sample \(t\)-tests. The manager begins the investigation by considering two different \(t\)-tests as independent, successive trials. The possible outcomes of the trials, N or S, are shown in the following tree diagram.

(ii) The family error rate is the probability of obtaining a significant result for at least one of the \(t\)-tests conducted, under the assumption that the null hypothesis is true. Use the tree diagram to determine the family error rate for two \(t\)-tests, each conducted at a level of \(\alpha = 0.05\). Show your work.

(c) Determine the family error rate for the number of \(t\)-tests identified in part (a), each conducted at a level of \(\alpha = 0.05\). Show your work."
U7-PC-FRQ-Q02,7,PC,free-response,false,words-only,,,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The following stemplot shows the swimming speeds, in kilometers per hour (km/h), for a random sample of 31 emperor penguins.

(a) The mean of the sample is 9.771 km/h, and the standard deviation is 0.944 km/h. Construct and interpret a 95 percent confidence interval for the mean swimming speed of all emperor penguins in the population.

(b) Can the estimate of the mean swimming speed be generalized to all types of penguins? Explain your reasoning."
U8-L3-Q03,8,3,free-response,true,bar,,flag:chartType:bar;keyword:bar chart;keyword:chi-square,,bar:,A small coffee shop sells freshly squeezed juices in a refrigerated unit with slots where juice is displayed. These slo…,"A small coffee shop sells freshly squeezed juices in a refrigerated unit with slots where juice is displayed. These slots are called facings. The manager of the coffee shop suspects that the distribution of juice sales is different than the distribution of facings for each type of juice, so the manager records the sales of each juice over a two-week period. The proportion of facings and the sales for each type of juice are shown in the tables.

(a) Construct a single bar chart that contains both the expected proportion of sales based on the proportion of facings and the observed proportion of sales for each type of juice.

(b) Assuming the conditions for inference have been met, does the coffee shop owner have sufficient evidence to conclude that the distribution of sales is proportional to the number of facings at a 5 percent level of significance? Conduct the appropriate statistical test to support your conclusion."
